nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,nama_kelurahan,nama_kecamatan,nama_kota
warteg bu nur,4.3,7,-6.3054728,106.7959141,"jalan pondok labu raya no.1 4 10 pondok labu kecamatan cilandak kota jakarta selatan daerah khusus ibukota jakarta, rt.1/rw.1, pd. labu, kota jakarta selatan",ChIJi6JjDCLuaS4RCt9FCSfn1Jc,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg barokah,5,1,-6.3111909,106.7929614,"jl. h. ipin no.10, rt.7/rw.1, pd. labu, kota jakarta selatan",ChIJEbZIOz3uaS4RVxx1kwzXDB0,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg jaya,0,0,-6.3031662,106.7813295,"jl. karang tengah, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJsQ-MkCjuaS4RZ8oj9pBOIYc,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg sari,2.7,6,-6.311108,106.781066,"jl. karang tengah raya no.97, rt.1/rw.3, lb. bulus, kota jakarta selatan",ChIJ_XisGDDuaS4Rz-o_ldh05YA,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg qy,4.4,55,-6.313163,106.801517,"jl. margasatwa no.75, rt.1/rw.2, pd. labu, kota jakarta selatan",ChIJo997IhHuaS4RfzkuUR6EPYw,Pondok Labu,Cilandak,Kota Jakarta Selatan
wahyoo warteg nurul,4.1,7,-6.3128228,106.7815296,"jl. karang tengah raya, rt.4/rw.3, lb. bulus, kota jakarta selatan",ChIJ8c_4ZDDuaS4RftHPt7V3nQw,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg kharisma bahari,4.2,19,-6.3130835,106.8002643,"jl. margasatwa no.42, rt.10/rw.2, pd. labu, kota jakarta selatan",ChIJWS7Vd57vaS4RRfJEMM5_XSM,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg family,4.9,7,-6.310898,106.7855493,"jl. karang tengah i no.24, rt.3/rw.8, lb. bulus, kota jakarta selatan",ChIJ3UUzyTruaS4Rzg-hdaClrXk,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg pratama 05,3,2,-6.3131633,106.7967608,"jl. pangkalan jani blok a no.3, rt.2/rw.5, pd. labu, kota jakarta selatan",ChIJNa4TqxfuaS4RbklhhFsWgQY,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg mbak armalah,5,3,-6.3102685,106.7971414,"jalan i 002 no 49, gg. rw. no.1, rt.3/rw.2, pd. pinang, kota jakarta selatan",ChIJGYtjmRfuaS4RNMB6kBulHGo,Pondok Pinang,Cilandak,Kota Jakarta Selatan
warteg mitra,4.8,5,-6.291395,106.802194,"jalan cilandak tengah iv no. 14c rt.003/001, rt.3/rw.1, cilandak bar., kota jakarta selatan",ChIJvx31k13xaS4Rm_CEsaEukh8,Cilandak Barat,Cilandak,Kota Jakarta Selatan
warteg berkah jaya,4,6,-6.3048464,106.7816945,"jl. karang tengah raya no.6, rt.6/rw.4, lb. bulus, kota jakarta selatan",ChIJQSoFpSjuaS4R3uPOqYmdk4c,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg kharisma bahari,4.3,31,-6.313765,106.781774,"jl. karang tengah raya no.59, rt.8/rw.6, lb. bulus, kota jakarta selatan",ChIJzUiQhDDuaS4RqDEd_dBs0lE,Lebak Bulus,Cilandak,Kota Jakarta Selatan
warteg joko,0,0,-6.311706,106.7946934,"jl. margasatwa no.10, rt.4/rw.1, pd. labu, kota jakarta selatan",ChIJ67JSYT3uaS4RURp2G8LKVSo,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg ayu,4.5,35,-6.3108314,106.7937468,"jl. rs. fatmawati raya no.41, rt.3/rw.1, pd. labu, kota jakarta selatan",ChIJFaK6UD3uaS4RbcMIiQ-DwKI,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg mulia murah meriah,5,2,-6.3116086,106.7900746,"jl. h. ipin no.23, rt.2/rw.8, pd. labu, kota jakarta selatan",ChIJ19YlwDzuaS4R659ACvbp9O4,Pondok Labu,Cilandak,Kota Jakarta Selatan
warteg nur,4.6,23,-6.3042616,106.8031542,"jl. pinang kalijati, rt.11/rw.9, pd. labu, kota jakarta selatan",ChIJZzPihxzuaS4RCJEAkDLbPR0,Pondok Labu,Cilandak,Kota Jakarta Selatan
